CCN,REPORT_DAT,START_DATE,END_DATE,SHIFT,OFFENSE,BLOCK,WARD,DISTRICT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE,hour,day,month,weekday,time_period,crime_count,crime_type,crime_date,crime_hour,year,day_night,area,risk_level
24115802,2024-07-29 03:51:59+00:00,2024-07-29 02:40:00+00:00,2024-07-29 03:39:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,5500 - 5529 BLOCK OF SOUTH DAKOTA AVENUE NE,4.0,4.0,Cluster 19,38.9556981975,-77.0008018355,2.0,29.0,7,Monday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-07-29 03:51:59+00:00,3,2024,Night,Cluster 19,Medium
24118167,2024-08-02 09:11:58+00:00,2024-08-02 08:03:00+00:00,2024-08-02 09:10:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1100 - 1198 BLOCK OF EUCLID STREET NW,1.0,3.0,Cluster 2,38.9237628124,-77.0275376912,8.0,2.0,8,Friday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-08-02 09:11:58+00:00,9,2024,Day,Cluster 2,High
24183436,2024-11-25 22:54:29+00:00,2024-11-25 20:14:00+00:00,2024-11-25 20:38:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,CONSTITUTION AVENUE NW AND 2ND STREET NW,6.0,1.0,Cluster 45,38.8920828195,-77.0136391052,20.0,25.0,11,Monday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-11-25 22:54:29+00:00,22,2024,Night,Cluster 45,Low
24185014,2024-11-29 04:39:43+00:00,2024-11-29 01:50:00+00:00,2024-11-29 04:30:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,3900 - 3999 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,8.0,7.0,Cluster 39,38.8325609582,-77.0089972649,1.0,29.0,11,Friday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-11-29 04:39:43+00:00,4,2024,Night,Cluster 39,High
24119721,2024-08-05 07:36:53+00:00,2024-08-05 04:55:00+00:00,2024-08-05 04:57:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,3029 - 3299 BLOCK OF BUENA VISTA TERRACE SE,8.0,7.0,Cluster 36,38.8512617456,-76.9656042352,4.0,5.0,8,Monday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-08-05 07:36:53+00:00,7,2024,Day,Cluster 36,High
24000129,2024-01-01 10:04:52+00:00,2024-01-01 07:00:00+00:00,2024-01-01 07:05:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1300 - 1399 BLOCK OF H STREET NE,6.0,1.0,Cluster 25,38.9001986979,-76.9869062421,7.0,1.0,1,Monday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-01-01 10:04:52+00:00,10,2024,Day,Cluster 25,High
24148684,2024-09-25 23:45:41+00:00,2024-09-25 08:00:00+00:00,2024-09-25 10:00:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,2400 - 2448 BLOCK OF VIRGINIA AVENUE NW,2.0,2.0,Cluster 5,38.8980483719,-77.0517993673,8.0,25.0,9,Wednesday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-09-25 23:45:41+00:00,23,2024,Night,Cluster 5,Low
24171465,2024-11-04 16:27:02+00:00,2024-11-04 14:50:00+00:00,2024-11-04 14:55:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,3236 - 3246 BLOCK OF 15TH PLACE SE,8.0,7.0,Cluster 38,38.8481346377,-76.9826256965,14.0,4.0,11,Monday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-11-04 16:27:02+00:00,16,2024,Day,Cluster 38,High
24173885,2024-11-08 23:37:15+00:00,2024-11-08 20:53:00+00:00,2024-11-08 23:20:00+00:00,EVENING,ASSAULT W/DANGEROUS WEAPON,600 - 718 BLOCK OF CHESAPEAKE STREET SE,8.0,7.0,Cluster 39,38.8292026565,-76.9973541389,20.0,8.0,11,Friday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-11-08 23:37:15+00:00,23,2024,Night,Cluster 39,High
24006967,2024-01-14 17:20:43+00:00,2024-01-14 16:15:00+00:00,,DAY,ASSAULT W/DANGEROUS WEAPON,3900 - 4099 BLOCK OF DAVIS PLACE NW,3.0,2.0,Cluster 14,38.9236240383,-77.0788813931,16.0,14.0,1,Sunday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-01-14 17:20:43+00:00,17,2024,Day,Cluster 14,Medium
